Trade_Date,Company_Name,Symbol,Series,Market_Status,Prev_Close,Open,High,Low,Close,Last_Price,Daily_Return_%,Intraday_Range,Intraday_Range_%,Open_to_Close_%
2026-09-08,20 MICRONS LTD                ,20MICRONS ,EQ,N,224.8,226.0,227.23,218.79,219.28,219.65,-2.4555,8.44,3.7544,-2.9735
2026-09-08,21ST CENTURY MGMT SERVICE     ,21STCENMGM,EQ,N,38.28,38.7,39.04,38.29,38.59,38.59,0.8098,0.75,1.9592,-0.2842
2026-09-08,360 ONE WAM LIMITED           ,360ONE    ,EQ,N,1136.9,1125.0,1128.2,1104.3,1110.0,1110.0,-2.3661,23.9,2.1022,-1.3333
2026-09-08,3B BLACKBIO DX LTD.           ,3BBLACKBIO,EQ,N,1521.3,1563.0,1569.5,1428.1,1455.3,1467.5,-4.3384,141.4,9.2947,-6.8906
2026-09-08,3M INDIA LIMITED              ,3MINDIA   ,EQ,N,32840.0,32840.0,33330.0,32620.0,33145.0,33170.0,0.9287,710.0,2.162,0.9287
2026-09-08,3P LAND HOLDINGS LIMITED      ,3PLAND    ,EQ,N,32.15,32.15,32.5,31.8,32.4,32.4,0.7776,0.7,2.1773,0.7776
2026-09-08,5PAISA CAPITAL LIMITED        ,5PAISA    ,EQ,N,339.85,337.0,342.0,335.0,337.4,337.2,-0.7209,7.0,2.0597,0.1187
2026-09-08,63 MOONS TECHNOLOGIES LTD     ,63MOONS   ,EQ,N,872.7,881.4,899.4,860.2,868.25,867.0,-0.5099,39.2,4.4918,-1.4919
2026-09-08,A2Z INFRA ENGINEERING LTD     ,A2ZINFRA  ,EQ,N,15.76,15.56,16.0,15.5,15.8,15.9,0.2538,0.5,3.1726,1.5424
2026-09-08,AAA TECHNOLOGIES LIMITED      ,AAATECH   ,EQ,N,92.07,92.07,93.42,91.65,92.64,92.77,0.6191,1.77,1.9225,0.6191
2026-09-08,AADHAR HOUSING FINANCE L      ,AADHARHFC ,EQ,N,478.95,477.15,482.95,468.2,479.65,481.0,0.1462,14.75,3.0797,0.5239
2026-09-08,AAKASH EXPLORATION SER L      ,AAKASH    ,EQ,N,8.59,8.7,8.7,8.25,8.49,8.48,-1.1641,0.45,5.2386,-2.4138
2026-09-08,AAREY DRUGS & PHARM LTD       ,AAREYDRUGS,EQ,N,97.31,98.47,99.2,94.21,98.03,98.99,0.7399,4.99,5.1279,-0.4468
2026-09-08,AARON INDUSTRIES LIMITED      ,AARON     ,EQ,N,125.54,123.35,126.02,123.35,125.01,125.6,-0.4222,2.67,2.1268,1.3458
2026-09-08,AARTI DRUGS LTD.              ,AARTIDRUGS,EQ,N,423.0,421.5,427.9,419.2,421.5,424.5,-0.3546,8.7,2.0567,0.0
2026-09-08,AARTI INDUSTRIES LTD          ,AARTIIND  ,EQ,N,490.7,490.7,504.75,486.5,503.7,504.0,2.6493,18.25,3.7192,2.6493
2026-09-08,AARTI PHARMALABS LIMITED      ,AARTIPHARM,EQ,N,862.65,866.9,889.7,861.55,867.0,869.65,0.5043,28.15,3.2632,0.0115
2026-09-08,AARVI ENCON LIMITED           ,AARVI     ,EQ,N,143.36,143.02,143.96,140.67,142.16,142.0,-0.8371,3.29,2.2949,-0.6013
2026-09-08,AASTHA SPINTEX LIMITED        ,AASTHA    ,EQ,N,77.36,76.51,78.71,75.22,76.85,76.73,-0.6593,3.49,4.5114,0.4444
2026-09-08,AAVAS FINANCIERS LIMITED      ,AAVAS     ,EQ,N,1306.2,1300.0,1314.8,1290.0,1293.5,1293.8,-0.9723,24.8,1.8986,-0.5
2026-09-08,ABANS ENTERPRISES LTD.        ,ABANSENT  ,EQ,N,28.39,28.39,28.39,27.21,27.77,27.83,-2.1839,1.18,4.1564,-2.1839
2026-09-08,ABB INDIA LIMITED             ,ABB       ,EQ,N,7434.0,7389.0,7472.0,7340.0,7387.0,7387.0,-0.6322,132.0,1.7756,-0.0271
